,pl_name,pl_orbper,pl_orbsmax,pl_radj,st_teff,pl_eqt,pl_radius_earth,mass_me,radius_re,flux_se,tsurf_k,period_days,distance_ly,age_gy,distances_from_Earth,distances_from_Kepler-442 b,distances_from_Kepler-62 f,distances_from_TOI-715 b,distances_from_LP 890-9 c,distances_from_TOI-700 e,distances_from_K2-3 d,distances_from_Kepler-296 e,distances_from_Kepler-186 f,distances_from_Kepler-1229 b,distances_from_K2-72 e,distances_from_TRAPPIST-1 e,distances_from_TOI-700 d,distances_from_Kepler-1652 b,distances_from_Kepler-1649 c,distances_from_TRAPPIST-1 f,distances_from_TRAPPIST-1 g,distances_from_TRAPPIST-1 d,distances_from_Kepler-452 b,distances_from_Kepler-1606 b,distances_from_Kepler-1638 b,distances_from_Kepler-22 b,distances_from_Kepler-443 b,distances_from_Kepler-174 d,distances_from_Kepler-283 c,distances_from_Kepler-1701 b,distances_from_Kepler-1544 b,distances_from_Kepler-440 b,distances_from_Kepler-62 e,distances_from_Kepler-1540 b,distances_from_Kepler-1653 b,distances_from_Kepler-1410 b,distances_from_TOI-2257 b,distances_from_K2-288 B b,distances_from_K2-332 b,distances_from_Kepler-155 c,distances_from_Kepler-705 b,distances_from_K2-18 b,distances_from_LHS 1140 b,distances_from_Kepler-296 f,distances_from_TOI-904 c,distances_from_K2-9 b,distances_from_Ross 128 b,distances_from_GJ 273 b,distances_from_GJ 667 C e,distances_from_GJ 667 C f,distances_from_Wolf 1069 b,distances_from_Proxima Cen b,distances_from_GJ 1002 c,distances_from_GJ 1002 b,distances_from_GJ 1061 c,distances_from_GJ 1061 d,distances_from_Teegarden's Star b,distances_from_Teegarden's Star c,distances_from_HD 40307 g,distances_from_HD 216520 c,distances_from_HIP 38594 b,distances_from_GJ 180 c,distances_from_GJ 3293 d,distances_from_Wolf 1061 c,distances_from_GJ 367 d,distances_from_GJ 357 d,distances_from_GJ 682 b,distances_from_HN Lib b,distances_from_Ross 508 b,distances_from_GJ 667 C c,distances_from_GJ 229 A c,distances_from_GJ 433 d,distances_from_GJ 163 c,distances_from_GJ 180 d,distances_from_GJ 514 b
0,Earth,365.25,1.0,1.0,5778.0,255.0,1.0,1.0,1.0,1.0,288.0,365.25,1.58e-05,4.543,0.0,1835.003921624293,1321.2179445352372,2750.5829948854757,2973.199076897248,2374.9696204339407,1620.1777024105718,1730.8295594746414,2114.967389863569,2277.0949833944946,2467.7014007577536,2092.8863082852286,2371.365936074526,1765.030584186831,2771.154824041871,2090.738376814175,2527.1142391336966,2532.408097556738,1820.9989424157845,2766.719861641513,4992.789369859371,721.1572627126943,2847.2911302728935,1676.6439376347312,2175.698205905277,2038.1488307937936,1516.3711392861392,2120.283544666486,1376.085978438149,1613.517337192126,2598.2913036315026,2207.5463719001036,2393.8131271874045,1424.9916403318139,1863.225777431245,1849.437854057617,2360.792547602028,2170.139549521163,2707.955686959544,1837.447244884419,1946.0044114062025,1841.5510045482488,2634.9675143068303,2504.3510631962436,2524.97291181945,2529.9455410095006,2666.6150964973704,1587.4443484526262,2798.877575862492,2799.644678777241,2920.43459570323,2919.0978618509866,2868.6325887792923,2864.6619538138907,939.2868996203634,916.2262171506729,712.302039785898,2513.660290403671,2417.1725103617764,2518.5151715971206,2366.4461717076033,2316.082196898264,2846.141784707485,2475.7606097211783,2805.5703511728384,1857.7232739893802,663.7251389187024,731.9294494687401,742.6197468329669,678.7410799088183,2077.254162085959
1,Kepler-442 b,99.56037,0.21161,0.1895,4495.5,658.125,2.1225,2.36,1.34,0.699682639,263.0391661,112.3053,1193.616805,2.9,1835.003921624293,0.0,574.6924810047802,1823.7513327813797,2014.9732819495543,1507.6281203846395,1076.9905653823282,705.7489173777709,916.6090289276797,843.5729859978644,1458.1606611391774,1370.026228703866,1506.7915710711377,486.1632030414339,1706.63299620682,1370.9652502205947,1665.0551114923528,1661.4422951347624,1390.2429581182682,1794.3108746641292,3979.5246712703065,1251.0087066130116,1451.4944914194984,317.2881272681688,374.6015543796617,1007.6607953676736,360.1506042480559,558.688589257775,509.79422375153837,398.3974424284395,1399.9097135680806,522.3586296927311,1520.09570591664,996.9935714433217,911.8077555788415,320.63566835971324,892.1036560043776,1355.4773226773423,1825.454977827817,765.1908562274671,1303.2029273437793,1032.44388494502,1801.8425560358494,1633.9763146971063,1644.9573535820157,1645.8236813008143,1822.9070957064212,1222.9240707245476,1948.596766027315,1937.3514774892997,1953.480532795094,1952.3492273610232,1939.5138523880366,1941.5246841501378,1238.4550026337529,1292.5463879496772,1600.2633596013807,1621.635062776206,1535.290475728341,1643.0775247498802,1526.4338554970539,1591.132630797061,1891.0488933548095,1698.7419162151944,1845.5732105907264,1258.8346004897046,1627.0143147098056,1621.9511384481336,1609.0569324924859,1613.013774198536,1472.9958667536632
2,Kepler-62 f,238.74113,0.37427,0.17378,4981.33333,598.22222,1.94778,35.0,1.41,0.40714688,229.8070241,267.291,981.3186034,7.0,1321.2179445352372,574.6924810047802,8.631674575031098e-05,2142.1838123711304,2353.3621341368676,1780.351700638445,1137.0920857226854,914.1300913775789,1247.250358176166,1281.4175471550163,1773.6199522137201,1570.8687451359544,1777.255252763706,784.7093450826569,2066.535490616361,1569.9654478806144,1947.5622936268237,1948.5329602008228,1095.7760725609187,1795.8757786449557,4062.482224359296,699.1250974932155,1655.6946207341043,365.87106334068045,885.8277052305525,960.7300080479615,239.56647527052235,1029.8794049853673,212.52323352434564,579.1486221951034,1497.1665132615012,1050.8565180924647,1798.0663494379385,975.2187585452838,1137.4988411800555,741.3219246793748,1352.9725450518513,1592.1272399073002,2127.112603323146,1015.59196243159,1461.763331933797,1215.5269970441775,2087.794869141368,1910.557447542055,1921.2733537039585,1926.1848484435693,2112.715617421445,1247.0649648857304,2246.3814682732495,2240.2003003464006,2285.052387321519,2282.3391924713997,2262.899800291651,2261.8225222206224,948.8214008858274,959.7792987460246,1170.3673535358187,1904.480065598057,1805.0561504173932,1922.566275912536,1781.285632265945,1818.040379522755,2213.0460022850048,1955.1641756786607,2168.917291906173,1378.1019288508567,1182.4022191695117,1200.4884188069204,1189.4242943336121,1170.0379403354511,1634.1102340696175
3,TOI-715 b,19.28799,0.09185,0.14,3075.0,234.5,1.57,3.02,1.55,0.712596714,264.3239251,19.288004,138.3057995,6.2,2750.5829948854757,1823.7513327813792,2142.183812371131,0.0,232.58509593021307,499.05772709202256,1272.2441344032306,1292.6640431139365,980.4426018643511,1028.85968527517,667.9507237697198,784.4210054956807,493.54659974781543,1415.0576470698345,232.50916571099324,779.8122951596565,372.7884416535908,402.33886042062636,3144.4922284150553,3524.8566172770525,5534.900574932871,2590.1579475117333,3037.7817648640744,2066.1804615028454,1915.9964140678883,2792.775811623212,2035.9990040869893,1310.5375759371364,2095.5406129037933,1594.9757361064858,3082.5904519684923,1434.2131423354438,367.4214362731687,1430.7623623232892,1093.853922647437,1521.9306003285851,1015.7488224674255,674.4429242621438,145.62612801340566,1160.1101921541822,813.6182026818624,1056.390392319886,192.96867528157196,651.082971375803,638.8500784202321,634.6987301708084,136.59890257545584,1256.3803068382197,154.56064041058582,133.42054319124662,588.503112342249,586.7534760970098,344.8400376642948,316.7848436254044,1878.9484859616928,2114.1431374501567,2600.2360882122603,640.8070795876753,687.7736589113258,644.8333210780348,725.2135141281449,448.08432730604585,576.6922228278778,298.2561359825281,570.0605388658704,1143.5281173767946,2605.029608273662,2600.4909450975133,2599.8028185530584,2603.4600744088525,688.4774729394142
4,LP 890-9 c,8.45746,0.03984,0.122,2850.0,272.0,1.37,25.3,1.367,0.908576167,280.8767919,8.457463,105.7717385,7.2,2973.199076897248,2014.9732819495546,2353.362134136868,232.5850959302151,0.0,674.846310885623,1477.6881914023872,1499.830185283395,1162.7228871775712,1198.6629512897093,788.3020120921085,975.5125857533978,672.2045848936207,1623.663402686798,321.6509314622796,972.9219298900165,525.8630331680106,541.0986040891157,3349.3196932056594,3699.8231486528775,5672.000214509015,2812.8179002972715,3190.507163191312,2264.4234849821146,2086.131930611149,2983.664939818555,2242.408960586431,1484.854394347131,2306.3323100938183,1801.1253410940897,3253.8654296472846,1603.9228880460225,596.6337680851043,1648.5150205959367,1297.2570330260194,1716.8163305603189,1173.6597736934696,870.4505226885509,284.99118721046364,1366.9877361728463,1042.7022738495657,1261.6612707015686,358.67310102770233,751.7140558416166,734.9314189224144,729.823216486382,319.5169038408947,1466.769246229166,230.48954078168586,202.64792824608753,541.5998676324008,541.9130627040518,305.04617052453665,282.33115112137335,2095.4446651753296,2322.436152366373,2812.4571929334747,741.1987077803767,811.100110223962,741.6326134007636,855.3799584171475,667.2114991342605,563.1325549892016,509.0877062789736,571.8666504126041,1325.8746109735664,2817.3759913905897,2812.2926896527897,2811.720385872857,2816.1797413315066,907.925929766844
5,TOI-700 e,27.80973,0.11735,0.085,3470.5,533.5,0.95,0.818,0.953,1.278049314,305.688111,27.80978,101.5209473,1.5,2374.9696204339402,1507.62812038464,1780.3517006384445,499.05772709202256,674.8463108856223,6.103515625e-05,816.8702179433988,894.6600703824807,628.5263530912994,815.8792003512574,287.9241760013666,317.41116928817485,32.68114440969053,1101.369247528147,467.4419623661722,322.2412386557325,200.98814640766653,171.28898289317604,2830.456649027085,3279.660307678485,5376.327654959798,2201.684197251563,2839.507759934549,1745.3789705455144,1669.2141808324516,2505.9408152833057,1691.1025198323048,1028.5535432958382,1729.6595415243428,1228.0500831575166,2856.4005996239093,1215.3715561372169,309.13179758720963,1015.1039248716469,671.0025224360429,1195.202211175782,825.9806505983478,211.8073561707403,415.842926783002,781.4216576370619,554.7554799794118,614.2038264348728,374.9540455202271,289.86542491805176,315.21967343752533,303.14182944399164,430.6969284432016,830.6139233488813,583.5083973973065,548.513081039972,587.0547265339901,589.6178494801559,510.57290337693104,517.8679518536862,1463.1518001845734,1663.282643098666,2158.242742176463,288.0837055745095,270.1754845855664,293.8288580721076,275.2022575627687,335.2223786389221,528.5676278889923,340.19333080051723,481.96997852272784,654.7585097908238,2164.392325533454,2158.5697981326484,2157.9340362288767,2163.4168113886503,467.831739615258
6,K2-3 d,44.55972,0.15632,0.14631,4278.61538,641.92308,1.63846,2.2,1.458,1.454409661,315.442726,44.55603,143.7457554,6.9,1620.1777024105718,1076.9905653823282,1137.0920857226854,1272.2441344032313,1477.6881914023868,816.8702179433999,0.0,405.6592220433288,652.8760711910874,920.027785105551,866.9832186207572,525.351849763137,818.466020828721,710.2258738174968,1243.1849469980816,531.3349889999199,988.1992017346381,977.0009823507717,2221.5226431466353,2826.3751680991936,5049.288730144258,1433.8738067689742,2527.0831594539636,1236.3092614485147,1385.5749250195697,1995.4433123249416,1109.6281877374672,892.4653521764843,1080.9784283458425,692.1409461392776,2456.1591373363276,1097.268246080988,933.4801040616193,261.79514856721215,338.8657348272644,814.9106874685833,983.4412794729918,609.465122500211,1209.3975453390606,451.29813147921095,617.9725662855568,261.816273120418,1147.6040280138677,919.9071814596875,954.446945104223,950.9755949291479,1194.55802600189,205.94170965085635,1347.3086437662535,1328.3991483700418,1341.8791657223996,1343.3087443746947,1321.851979135417,1327.8315851519212,689.3951746793196,856.4135845428951,1344.9963482474325,927.7699486673712,832.8976827139029,933.5951279953758,780.3617519820591,893.0195568470608,1270.814793690519,1027.1538617077988,1222.8780794465606,291.3957520870533,1355.1430339473625,1347.148745796746,1345.6712500977385,1353.495282328359,736.7864285048867
7,Kepler-296 e,31.97963,0.13964,0.18573,4243.72727,607.63636,2.08,2.96,1.53,1.000606613,281.6348028,34.14211,544.68052,4.2,1730.8295594746414,705.7489173777709,914.1300913775789,1292.6640431139358,1499.8301852833947,894.6600703824796,405.6592220433288,8.631674575031098e-05,456.1111767702015,617.513279987619,898.5117266087342,691.3341581294984,894.9910780824499,330.6381088711216,1216.9919196694004,693.7409201089165,1066.5307304085736,1060.382456875226,1968.3193706707077,2485.971756409139,4679.045088086556,1383.9668909259508,2146.1322568632854,914.9084719968225,988.9058562155232,1673.2696023313722,819.7621309040812,520.1013713443549,841.1656107094341,360.1839913378256,2094.7472674972823,703.9726503584415,953.657433252285,418.7647743296832,231.25205174417897,417.5314396076139,686.1361482354689,707.700261346913,1262.7906862962268,156.73783537871975,691.8055677302177,334.040143816884,1219.5375588557552,1030.1462864313191,1054.2099069899689,1051.7158977745144,1253.5803863028696,552.7800307210312,1398.1237937413246,1382.3060886902515,1409.5088941363754,1409.440709504751,1383.868625426289,1387.096717570794,871.9803778177642,1017.0596396145138,1464.9219236030258,1025.888735566569,932.8815319935946,1041.707068637838,905.5578956183988,981.9162161240321,1340.4509521970228,1104.6293099881968,1292.13414804534,581.4296802098208,1483.9925036206944,1473.8968887036165,1467.2703406105315,1476.2584831508113,854.7866719773778
8,Kepler-186 f,117.98654,0.21708,0.1652,3817.8,670.8,1.85,1.71,1.17,0.294700057,211.9045099,129.9441,579.2334866,4.0,2114.9673898635697,916.6090289276807,1247.2503581761666,980.4426018643511,1162.722887177571,628.5263530912994,652.8760711910887,456.11117677020354,6.103515625e-05,334.83618852629354,571.8209378321684,575.1551813744941,623.7632260657724,602.299090888819,860.9651522209793,574.557854930802,774.25841860255,772.1641790698486,2263.1195827163597,2685.2313466421747,4793.256168842486,1782.7140346049273,2249.7848220188016,1158.6531831628372,1080.773154490065,1919.4489324560514,1137.3641570980471,447.1453638763339,1209.8118623248677,692.8755950763035,2268.1103049659064,669.2102975103285,705.0607007301907,781.5662062477303,353.96527299364254,629.5039344157016,396.0604411537992,521.0219588081941,951.9609713065998,321.9907129157147,660.0656461828742,437.47895860377076,942.5187715825549,745.0354616432104,741.8982768571678,747.4043402447695,968.7279750258973,781.569114948607,1098.9652356316076,1081.3166060256526,1059.3134466556548,1053.9122438582835,1046.4179436048225,1046.8170887923843,1232.5941212053324,1394.0129570884862,1877.0567949334575,728.0693880966024,644.7201678296017,754.2458078561694,653.3533352353344,781.9711679823287,989.2378361405451,860.9437922127345,949.3032072200195,638.8306777546607,1883.8369013436954,1886.3628485089025,1882.284547444087,1878.0381626503852,732.1127145641851
9,Kepler-1229 b,78.33202,0.18981,0.19833,3730.33333,533.55556,2.22111,2.54,1.4,0.324356083,217.1106027,86.828989,865.8854719,3.72,2277.094983394494,843.5729859978634,1281.4175471550157,1028.85968527517,1198.6629512897089,815.8792003512574,920.0277851055499,617.5132799876205,334.83618852629354,6.103515625e-05,771.4652593250028,835.6042257962348,812.1116821826097,583.2579933343071,888.1202604568568,833.5725670797615,930.5282103438697,934.1816189269167,2203.561631714448,2525.101845135911,4572.265140465371,1882.3486609783693,2043.0296936206878,1110.0097237435289,899.8975956108244,1805.7884970315968,1127.4486880434513,313.2197437200709,1233.6594637015353,750.0317121103884,2087.633828963743,431.53671415841893,796.4501979817684,993.9008416326585,590.9322985550386,588.7408653606933,103.35984890750589,751.7931328792563,1044.599749480369,497.26801846012665,813.8538499736834,695.1505654273533,1046.5300753335946,965.1234038415901,960.6070862734299,962.6781388657171,1056.0820247150864,1035.5326728924624,1163.1150633577665,1151.2744720141636,1192.2765848786337,1188.2024719908602,1151.4360549073633,1148.5358804798511,1449.880674310112,1616.652682193847,2066.5022719369995,943.6387206673467,883.9473837444502,970.2995463404261,905.4125228476705,920.8969193711354,1136.384425873594,978.0478383440112,1099.0281220624893,948.3126269913553,2080.7204028377596,2077.9459979507415,2071.0618052187665,2072.117906290462,907.9417884041601
